InvoiceID_sk,InvoiceID_nk,NumberOfCustomer,ProductID_NK,ProductLine,UnitPrice,Quantity,Tax_5_percent,Total,gross_income,gross_margin_percentage,cogs,Rating,Branch,City,Gender,CustomerType,Payment,Date,Year,Month
12,706-36-6154,1,PID101,Electronic accessories,19.36,9,8.712,182.952,8.712,4.761904762,174.24,8.7,A,Yangon,M,Member,Ewallet,1/18/19 18:43,2019,1
13,742-04-5161,1,PID102,Electronic accessories,72.78,10,36.39,764.19,36.39,4.761904762,727.8,7.3,A,Yangon,M,Member,Cash,2/3/19 17:24,2019,2
14,562-12-5430,1,PID103,Food and beverages,88.15,3,13.2225,277.6725,13.2225,4.761904762,264.45,7.9,A,Yangon,F,Member,Ewallet,1/18/19 10:11,2019,1
15,816-72-8853,1,PID104,Health and beauty,27.93,5,6.9825,146.6325,6.9825,4.761904762,139.65,5.9,A,Yangon,F,Member,Cash,1/29/19 15:48,2019,1
16,529-56-3981,1,PID104,Health and beauty,27.93,5,8.64,181.44,8.64,4.761904762,172.8,9.9,A,Yangon,M,Normal,Ewallet,2/17/20 11:15,2020,2
17,491-38-3499,1,PID105,Health and beauty,34.56,1,2.7725,58.2225,2.7725,4.761904762,55.45,4.9,A,Yangon,M,Member,Credit card,2/26/19 17:46,2019,2
18,588-47-8641,1,PID106,Sports and travel,55.45,10,28.02,588.42,28.02,4.761904762,560.4,4.4,A,Yangon,M,Member,Ewallet,1/14/19 19:30,2019,1
19,274-05-5470,1,PID107,Food and beverages,56.04,4,14.694,308.574,14.694,4.761904762,293.88,6,A,Yangon,F,Member,Cash,2/23/19 18:30,2019,2
20,130-67-4723,1,PID108,Home and lifestyle,73.47,6,14.55,305.55,14.55,4.761904762,291,9.4,A,Yangon,M,Member,Ewallet,1/11/19 13:57,2019,1
21,105-10-6182,1,PID109,Electronic accessories,48.5,2,2.148,45.108,2.148,4.761904762,42.96,6.6,A,Yangon,M,Member,Ewallet,2/27/19 12:22,2019,2
22,817-48-8732,1,PID11,Health and beauty,21.48,10,36.175,759.675,36.175,4.761904762,723.5,5.4,A,Yangon,F,Member,Cash,1/20/19 15:55,2019,1
23,648-83-1321,1,PID110,Home and lifestyle,72.35,10,31.78,667.38,31.78,4.761904762,635.6,4.3,A,Yangon,M,Member,Cash,1/16/19 17:59,2019,1
24,689-05-1884,1,PID111,Electronic accessories,63.56,10,24.315,510.615,24.315,4.761904762,486.3,8.8,A,Yangon,M,Member,Cash,3/4/19 12:44,2019,3
25,800-09-8606,1,PID112,Sports and travel,48.63,5,21.8425,458.6925,21.8425,4.761904762,436.85,6.6,A,Yangon,F,Member,Cash,1/29/19 19:45,2019,1
26,182-52-7000,1,PID113,Home and lifestyle,87.37,4,5.408,113.568,5.408,4.761904762,108.16,6.9,A,Yangon,F,Member,Ewallet,1/1/19 20:26,2019,1
27,868-06-0466,1,PID114,Fashion accessories,27.04,9,31.311,657.531,31.311,4.761904762,626.22,7.8,A,Yangon,M,Member,Credit card,2/19/19 19:38,2019,2
28,786-94-2700,1,PID115,Fashion accessories,69.58,6,24.186,507.906,24.186,4.761904762,483.72,9.1,A,Yangon,M,Member,Cash,2/28/19 20:18,2019,2
29,857-16-3520,1,PID116,Food and beverages,80.62,7,25.011,525.231,25.011,4.761904762,500.22,4.5,A,Yangon,F,Member,Ewallet,3/28/19 16:06,2019,3
30,482-17-1179,1,PID117,Health and beauty,71.46,3,1.791,37.611,1.791,4.761904762,35.82,8.1,A,Yangon,M,Member,Credit card,1/19/19 12:47,2019,1
31,247-11-2470,1,PID118,Fashion accessories,11.94,4,4.464,93.744,4.464,4.761904762,89.28,4.4,A,Yangon,F,Member,Credit card,3/1/19 16:23,2019,3
32,756-49-0168,1,PID119,Sports and travel,22.32,1,0.985,20.685,0.985,4.761904762,19.7,9.5,A,Yangon,M,Member,Ewallet,2/8/19 11:39,2019,2
33,199-75-8169,1,PID12,Sports and travel,19.7,10,7.905,166.005,7.905,4.761904762,158.1,8.6,A,Yangon,M,Member,Credit card,3/6/19 12:27,2019,3
34,373-14-0504,1,PID120,Health and beauty,15.81,2,7.163,150.423,7.163,4.761904762,143.26,8.8,A,Yangon,F,Member,Ewallet,2/12/19 14:33,2019,2
35,546-80-2899,1,PID121,Food and beverages,71.63,2,3.769,79.149,3.769,4.761904762,75.38,9.5,A,Yangon,M,Member,Ewallet,2/20/19 15:29,2019,2
36,807-14-7833,1,PID122,Sports and travel,37.69,10,8.71,182.91,8.71,4.761904762,174.2,7,A,Yangon,F,Member,Ewallet,2/22/19 12:30,2019,2
37,250-17-5703,1,PID123,Sports and travel,17.42,10,9.425,197.925,9.425,4.761904762,188.5,5.6,A,Yangon,M,Member,Ewallet,2/27/19 18:24,2019,2
38,410-67-1709,1,PID124,Electronic accessories,18.85,8,25.552,536.592,25.552,4.761904762,511.04,9.9,A,Yangon,F,Member,Ewallet,1/20/19 17:48,2019,1
39,587-73-4862,1,PID125,Health and beauty,63.88,5,2.6725,56.1225,2.6725,4.761904762,53.45,7.6,A,Yangon,F,Member,Ewallet,3/26/19 11:07,2019,3
40,787-87-2010,1,PID126,Home and lifestyle,10.69,4,11.1,233.1,11.1,4.761904762,222,6.6,A,Yangon,M,Member,Credit card,1/20/19 15:48,2019,1
41,307-04-2070,1,PID127,Home and lifestyle,55.5,1,1.531,32.151,1.531,4.761904762,30.62,4.1,A,Yangon,F,Member,Credit card,2/5/19 14:14,2019,2
42,263-12-5321,1,PID128,Home and lifestyle,30.62,7,32.41,680.61,32.41,4.761904762,648.2,9.3,A,Yangon,M,Member,Credit card,2/27/19 12:52,2019,2
43,864-24-7918,1,PID129,Sports and travel,92.6,10,12.245,257.145,12.245,4.761904762,244.9,8.1,A,Yangon,F,Member,Cash,2/22/19 15:15,2019,2
44,877-22-3308,1,PID13,Food and beverages,24.49,10,7.935,166.635,7.935,4.761904762,158.7,5.8,A,Yangon,M,Member,Cash,3/13/19 16:40,2019,3
45,529-56-3975,1,PID13,Food and beverages,24.49,4,5.102,107.142,5.102,4.761904762,102.04,6.8,B,Mandalay,M,Member,Cash,3/9/20 17:03,2020,3
46,759-29-9521,1,PID130,Electronic accessories,15.87,9,22.032,462.672,22.032,4.761904762,440.64,8,A,Yangon,F,Member,Cash,3/4/19 11:27,2019,3
47,778-34-2523,1,PID131,Health and beauty,25.51,8,19.448,408.408,19.448,4.761904762,388.96,5,A,Yangon,F,Member,Cash,1/24/19 10:57,2019,1
48,186-43-8965,1,PID132,Food and beverages,48.96,2,4.768,100.128,4.768,4.761904762,95.36,4.1,A,Yangon,F,Member,Credit card,2/24/19 10:10,2019,2
49,569-76-2760,1,PID133,Electronic accessories,48.62,4,4.402,92.442,4.402,4.761904762,88.04,6.6,A,Yangon,F,Member,Credit card,1/29/19 18:15,2019,1
50,760-53-9233,1,PID134,Fashion accessories,47.68,3,6.192,130.032,6.192,4.761904762,123.84,8.5,A,Yangon,M,Member,Credit card,3/26/19 18:37,2019,3
51,416-17-9926,1,PID135,Food and beverages,22.01,10,37.11,779.31,37.11,4.761904762,742.2,4.3,A,Yangon,F,Member,Credit card,1/1/19 14:42,2019,1
52,528-14-9470,1,PID136,Food and beverages,41.28,1,4.565,95.865,4.565,4.761904762,91.3,9.2,A,Yangon,M,Member,Ewallet,2/14/19 14:42,2019,2
53,288-62-1085,1,PID137,Fashion accessories,74.22,5,9.635,202.335,9.635,4.761904762,192.7,5.6,A,Yangon,M,Member,Ewallet,1/9/19 13:34,2019,1
54,860-73-6466,1,PID138,Fashion accessories,91.3,2,3.947,82.887,3.947,4.761904762,78.94,5,A,Yangon,F,Member,Credit card,3/2/19 16:16,2019,3
55,804-38-3935,1,PID139,Home and lifestyle,38.54,3,14.067,295.407,14.067,4.761904762,281.34,5.9,A,Yangon,M,Member,Credit card,1/30/19 11:32,2019,1
56,365-64-0521,1,PID139,Home and lifestyle,38.54,2,3.32,69.72,3.32,4.761904762,66.4,4.4,B,Mandalay,M,Normal,Credit card,3/15/20 12:20,2020,3
57,382-03-4532,1,PID14,Home and lifestyle,39.47,1,0.9165,19.2465,0.9165,4.761904762,18.33,4.3,A,Yangon,F,Member,Cash,2/2/19 18:50,2019,2
58,585-90-0249,1,PID140,Health and beauty,93.78,1,3.663,76.923,3.663,4.761904762,73.26,9.7,A,Yangon,M,Member,Ewallet,1/27/19 18:08,2019,1
59,160-22-2687,1,PID141,Home and lifestyle,33.2,5,23.9875,503.7375,23.9875,4.761904762,479.75,8.8,A,Yangon,F,Member,Ewallet,1/23/19 14:21,2019,1
60,748-45-2862,1,PID142,Electronic accessories,18.33,4,5.662,118.902,5.662,4.761904762,113.24,8.2,A,Yangon,F,Member,Cash,3/7/19 18:35,2019,3
61,316-66-3011,1,PID143,Sports and travel,73.26,9,21.4335,450.1035,21.4335,4.761904762,428.67,5,A,Yangon,F,Member,Cash,1/23/19 12:35,2019,1
62,840-76-5966,1,PID144,Home and lifestyle,95.95,2,1.276,26.796,1.276,4.761904762,25.52,7.8,A,Yangon,M,Member,Ewallet,1/8/19 18:06,2019,1
63,124-31-1458,1,PID145,Sports and travel,28.31,3,11.9385,250.7085,11.9385,4.761904762,238.77,6.6,A,Yangon,F,Member,Cash,1/8/19 14:30,2019,1
64,873-14-6353,1,PID146,Sports and travel,47.63,7,8.687,182.427,8.687,4.761904762,173.74,7.1,A,Yangon,M,Member,Credit card,2/16/19 10:33,2019,2
65,166-19-2553,1,PID147,Health and beauty,12.76,6,26.718,561.078,26.718,4.761904762,534.36,9.9,A,Yangon,M,Member,Cash,1/18/19 17:26,2019,1
66,737-88-5876,1,PID148,Health and beauty,79.59,4,4.658,97.818,4.658,4.761904762,93.16,5.9,A,Yangon,M,Member,Credit card,3/19/19 11:52,2019,3
67,291-55-6563,1,PID149,Health and beauty,24.82,6,10.326,216.846,10.326,4.761904762,206.52,7.5,A,Yangon,F,Member,Ewallet,3/30/19 12:45,2019,3
68,381-20-0914,1,PID15,Fashion accessories,89.06,9,9.0045,189.0945,9.0045,4.761904762,180.09,5.7,A,Yangon,F,Member,Credit card,1/12/19 15:48,2019,1
69,548-48-3156,1,PID150,Sports and travel,23.29,2,8.334,175.014,8.334,4.761904762,166.68,7.6,A,Yangon,F,Member,Cash,3/19/19 13:37,2019,3
70,325-89-4209,1,PID151,Health and beauty,34.42,1,4.395,92.295,4.395,4.761904762,87.9,6.7,A,Yangon,M,Member,Ewallet,2/5/19 19:42,2019,2
71,884-80-6021,1,PID152,Food and beverages,20.01,10,36.735,771.435,36.735,4.761904762,734.7,9.5,A,Yangon,F,Member,Ewallet,3/23/19 13:14,2019,3
72,880-46-5796,1,PID153,Fashion accessories,83.34,10,38.46,807.66,38.46,4.761904762,769.2,5.6,A,Yangon,M,Member,Ewallet,3/17/19 19:53,2019,3
73,146-09-5432,1,PID154,Food and beverages,87.9,9,15.768,331.128,15.768,4.761904762,315.36,4.6,A,Yangon,M,Member,Ewallet,2/9/19 19:17,2019,2
74,595-94-9924,1,PID155,Electronic accessories,73.47,5,6.9325,145.5825,6.9325,4.761904762,138.65,4.2,A,Yangon,F,Member,Credit card,3/26/19 20:21,2019,3
75,186-71-5196,1,PID156,Home and lifestyle,76.92,2,7.954,167.034,7.954,4.761904762,159.08,6.2,A,Yangon,F,Member,Ewallet,3/27/19 16:30,2019,3
76,522-57-8364,1,PID157,Electronic accessories,35.04,8,20.536,431.256,20.536,4.761904762,410.72,7.6,A,Yangon,M,Member,Ewallet,1/31/19 10:00,2019,1
77,459-45-2396,1,PID158,Fashion accessories,27.73,3,14.94,313.74,14.94,4.761904762,298.8,5.8,A,Yangon,F,Member,Cash,2/25/19 18:45,2019,2
78,397-25-8725,1,PID159,Fashion accessories,79.54,9,17.829,374.409,17.829,4.761904762,356.58,6.8,A,Yangon,F,Member,Credit card,1/13/19 17:54,2019,1
79,633-44-8566,1,PID16,Food and beverages,51.34,7,17.283,362.943,17.283,4.761904762,345.66,7.3,A,Yangon,M,Member,Credit card,3/27/19 20:35,2019,3
80,131-70-8179,1,PID160,Health and beauty,99.6,3,13.8135,290.0835,13.8135,4.761904762,276.27,4.2,A,Yangon,F,Member,Cash,2/17/19 16:27,2019,2
81,333-23-2632,1,PID161,Health and beauty,39.62,7,3.528,74.088,3.528,4.761904762,70.56,4.2,A,Yangon,M,Member,Cash,3/28/19 20:14,2019,3
82,384-59-6655,1,PID162,Food and beverages,49.38,9,44.397,932.337,44.397,4.761904762,887.94,8.4,A,Yangon,F,Member,Cash,2/19/19 15:07,2019,2
83,324-92-3863,1,PID163,Food and beverages,92.09,2,2.089,43.869,2.089,4.761904762,41.78,9.8,A,Yangon,M,Member,Cash,2/5/19 18:45,2019,2
84,195-06-0432,1,PID164,Food and beverages,10.08,3,12.1515,255.1815,12.1515,4.761904762,243.03,9.3,A,Yangon,M,Member,Credit card,1/13/19 12:55,2019,1
85,139-32-4183,1,PID165,Sports and travel,98.66,9,43.866,921.186,43.866,4.761904762,877.32,7.4,A,Yangon,F,Member,Ewallet,3/14/19 14:19,2019,3
86,727-02-1313,1,PID166,Sports and travel,20.89,1,1.592,33.432,1.592,4.761904762,31.84,7.7,A,Yangon,M,Member,Cash,2/9/19 13:22,2019,2
87,849-09-3807,1,PID167,Fashion accessories,81.01,7,30.919,649.299,30.919,4.761904762,618.38,6.6,A,Yangon,F,Member,Cash,2/18/19 13:28,2019,2
88,631-41-3108,1,PID168,Food and beverages,97.48,7,16.2155,340.5255,16.2155,4.761904762,324.31,7.4,A,Yangon,M,Normal,Credit card,3/3/19 13:23,2019,3
89,373-73-7910,1,PID169,Sports and travel,31.84,7,30.2085,634.3785,30.2085,4.761904762,604.17,5.3,A,Yangon,M,Normal,Ewallet,2/8/19 10:37,2019,2
90,873-51-0671,1,PID17,Health and beauty,88.34,7,7.693,161.553,7.693,4.761904762,153.86,5.1,A,Yangon,F,Member,Ewallet,1/10/19 16:42,2019,1
91,365-64-0515,1,PID170,Home and lifestyle,46.33,5,11.7375,246.4875,11.7375,4.761904762,234.75,7.1,A,Yangon,F,Normal,Ewallet,2/12/19 10:25,2019,2
92,252-56-2699,1,PID171,Sports and travel,86.31,10,21.595,453.495,21.595,4.761904762,431.9,8.2,A,Yangon,M,Normal,Ewallet,2/7/19 16:48,2019,2
93,829-34-3910,1,PID172,Sports and travel,21.98,10,35.69,749.49,35.69,4.761904762,713.8,5.7,A,Yangon,F,Normal,Cash,3/29/19 19:21,2019,3
94,765-26-6951,1,PID173,Health and beauty,46.95,6,21.783,457.443,21.783,4.761904762,435.66,6.9,A,Yangon,M,Normal,Credit card,1/1/19 10:39,2019,1
95,329-62-1586,1,PID174,Health and beauty,43.19,3,8.2005,172.2105,8.2005,4.761904762,164.01,8.6,A,Yangon,M,Normal,Credit card,1/21/19 18:00,2019,1
96,636-48-8204,1,PID175,Electronic accessories,71.38,5,8.64,181.44,8.64,4.761904762,172.8,9.9,A,Yangon,M,Normal,Ewallet,2/17/19 11:15,2019,2
97,189-17-4241,1,PID176,Health and beauty,72.61,2,8.767,184.107,8.767,4.761904762,175.34,7.7,A,Yangon,F,Normal,Credit card,3/10/19 12:17,2019,3
98,848-62-7243,1,PID177,Electronic accessories,54.67,9,11.2005,235.2105,11.2005,4.761904762,224.01,7.4,A,Yangon,M,Normal,Cash,3/15/19 15:36,2019,3
99,595-11-5460,1,PID178,Food and beverages,34.56,2,9.658,202.818,9.658,4.761904762,193.16,5.1,A,Yangon,M,Normal,Credit card,3/15/19 10:12,2019,3
100,272-65-1806,1,PID179,Home and lifestyle,87.67,9,27.396,575.316,27.396,4.761904762,547.92,4.7,A,Yangon,F,Normal,Ewallet,1/15/19 17:17,2019,1
101,704-48-3927,1,PID18,Fashion accessories,24.89,10,44.335,931.035,44.335,4.761904762,886.7,7.3,A,Yangon,M,Member,Ewallet,1/12/19 14:50,2019,1
102,635-40-6220,1,PID180,Fashion accessories,96.58,8,35.84,752.64,35.84,4.761904762,716.8,6.6,A,Yangon,M,Normal,Ewallet,2/7/19 11:28,2019,2
103,232-11-3025,1,PID181,Electronic accessories,60.88,10,39.385,827.085,39.385,4.761904762,787.7,6.4,A,Yangon,M,Normal,Cash,1/24/19 10:04,2019,1
104,287-21-9091,1,PID182,Food and beverages,88.67,9,33.6015,705.6315,33.6015,4.761904762,672.03,9.4,A,Yangon,M,Normal,Ewallet,1/22/19 10:55,2019,1
105,504-35-8843,1,PID183,Health and beauty,89.6,1,2.1235,44.5935,2.1235,4.761904762,42.47,5.7,A,Yangon,M,Normal,Cash,1/2/19 16:57,2019,1
106,594-34-4444,1,PID184,Electronic accessories,78.77,1,4.858,102.018,4.858,4.761904762,97.16,7.2,A,Yangon,M,Normal,Ewallet,3/8/19 20:38,2019,3
107,865-92-6136,1,PID185,Fashion accessories,74.67,3,7.9125,166.1625,7.9125,4.761904762,158.25,9.3,A,Yangon,M,Normal,Ewallet,3/23/19 10:16,2019,3
108,212-62-1842,1,PID186,Sports and travel,42.47,6,17.478,367.038,17.478,4.761904762,349.56,9.9,A,Yangon,M,Normal,Cash,3/28/19 16:44,2019,3
109,630-74-5166,1,PID187,Food and beverages,97.16,6,18.639,391.419,18.639,4.761904762,372.78,7.4,A,Yangon,M,Normal,Cash,3/22/19 20:19,2019,3
110,642-32-2990,1,PID188,Electronic accessories,52.75,10,5.48,115.08,5.48,4.761904762,109.6,6,A,Yangon,F,Normal,Ewallet,2/2/19 20:48,2019,2
111,638-60-7125,1,PID189,Sports and travel,58.26,8,39.824,836.304,39.824,4.761904762,796.48,5.2,A,Yangon,F,Normal,Credit card,2/14/19 17:03,2019,2
112,645-44-1170,1,PID19,Health and beauty,62.13,9,26.1315,548.7615,26.1315,4.761904762,522.63,4.3,A,Yangon,M,Member,Ewallet,1/19/19 20:07,2019,1
113,668-90-8900,1,PID190,Fashion accessories,10.96,7,32.7915,688.6215,32.7915,4.761904762,655.83,4.5,A,Yangon,F,Normal,Credit card,3/10/19 18:44,2019,3
114,870-54-3162,1,PID191,Home and lifestyle,99.56,5,8.0625,169.3125,8.0625,4.761904762,161.25,9,A,Yangon,F,Normal,Cash,1/27/19 13:26,2019,1
115,700-81-1757,1,PID192,Home and lifestyle,58.07,5,6.5775,138.1275,6.5775,4.761904762,131.55,8.8,A,Yangon,F,Normal,Credit card,1/18/19 20:59,2019,1
116,575-30-8091,1,PID193,Fashion accessories,93.69,8,29,609,29,4.761904762,580,9.2,A,Yangon,M,Normal,Ewallet,3/16/19 19:25,2019,3
117,239-10-7476,1,PID194,Fashion accessories,32.25,6,23.385,491.085,23.385,4.761904762,467.7,8,A,Yangon,F,Normal,Ewallet,1/21/19 16:37,2019,1
118,238-49-0436,1,PID195,Fashion accessories,26.31,8,12.984,272.664,12.984,4.761904762,259.68,4.9,A,Yangon,M,Normal,Credit card,3/27/19 13:48,2019,3
119,746-94-0204,1,PID196,Food and beverages,72.5,9,37.458,786.618,37.458,4.761904762,749.16,7.4,A,Yangon,M,Normal,Credit card,1/29/19 11:56,2019,1
120,275-28-0149,1,PID197,Home and lifestyle,77.95,1,3.1845,66.8745,3.1845,4.761904762,63.69,6,A,Yangon,M,Normal,Cash,2/25/19 16:21,2019,2
121,101-17-6199,1,PID198,Electronic accessories,32.46,7,16.0265,336.5565,16.0265,4.761904762,320.53,7,A,Yangon,M,Normal,Credit card,3/13/19 19:44,2019,3
122,687-47-8271,1,PID199,Sports and travel,83.24,10,49.49,1039.29,49.49,4.761904762,989.8,8.7,A,Yangon,M,Normal,Credit card,2/8/19 16:20,2019,2
123,802-70-5316,1,PID20,Sports and travel,63.69,6,27.639,580.419,27.639,4.761904762,552.78,8.3,A,Yangon,F,Member,Cash,3/6/19 20:34,2019,3
124,796-32-9050,1,PID200,Home and lifestyle,45.79,6,15.384,323.064,15.384,4.761904762,307.68,6.5,A,Yangon,M,Normal,Cash,1/19/19 16:31,2019,1
125,249-42-3782,1,PID201,Fashion accessories,98.98,5,17.5025,367.5525,17.5025,4.761904762,350.05,5.5,A,Yangon,M,Normal,Ewallet,1/3/19 11:36,2019,1
126,407-63-8975,1,PID202,Home and lifestyle,92.13,6,22.164,465.444,22.164,4.761904762,443.28,4.4,A,Yangon,M,Normal,Ewallet,3/23/19 19:16,2019,3
127,586-25-0848,1,PID203,Sports and travel,51.28,7,4.319,90.699,4.319,4.761904762,86.38,6.7,A,Yangon,F,Normal,Credit card,3/4/19 11:19,2019,3
128,400-60-7251,1,PID204,Fashion accessories,70.01,1,3.7035,77.7735,3.7035,4.761904762,74.07,9.9,A,Yangon,M,Normal,Ewallet,2/10/19 12:50,2019,2
129,831-07-6050,1,PID205,Food and beverages,73.88,5,8.1775,171.7275,8.1775,4.761904762,163.55,9.9,A,Yangon,M,Normal,Credit card,3/19/19 11:30,2019,3
130,856-22-8149,1,PID206,Sports and travel,12.34,1,1.2645,26.5545,1.2645,4.761904762,25.29,6.1,A,Yangon,F,Normal,Ewallet,3/23/19 10:13,2019,3
131,749-24-1565,1,PID207,Fashion accessories,74.07,9,10.3635,217.6335,10.3635,4.761904762,207.27,7.9,A,Yangon,F,Normal,Ewallet,1/3/19 12:02,2019,1
132,888-02-0338,1,PID208,Sports and travel,32.71,9,11.8035,247.8735,11.8035,4.761904762,236.07,5.9,A,Yangon,M,Normal,Ewallet,1/25/19 20:24,2019,1
133,529-56-3982,1,PID208,Sports and travel,32.71,8,21.036,441.756,21.036,4.761904762,420.72,8.5,A,Yangon,F,Member,Credit card,3/22/20 19:20,2020,3
134,802-43-8934,1,PID209,Electronic accessories,25.29,1,0.914,19.194,0.914,4.761904762,18.28,8.3,A,Yangon,M,Normal,Credit card,3/22/19 15:05,2019,3
135,354-39-5160,1,PID21,Health and beauty,23.03,6,10.326,216.846,10.326,4.761904762,206.52,9.8,A,Yangon,F,Member,Cash,2/18/19 15:39,2019,2
136,213-72-6612,1,PID210,Fashion accessories,26.23,2,4.325,90.825,4.325,4.761904762,86.5,6.2,A,Yangon,M,Normal,Cash,3/20/19 15:56,2019,3
137,721-86-6247,1,PID211,Electronic accessories,52.59,8,25.368,532.728,25.368,4.761904762,507.36,7.4,A,Yangon,F,Normal,Ewallet,3/11/19 12:55,2019,3
138,645-78-8093,1,PID212,Home and lifestyle,18.28,2,9.314,195.594,9.314,4.761904762,186.28,4.1,A,Yangon,F,Normal,Ewallet,1/20/19 18:09,2019,1
139,478-06-7835,1,PID213,Sports and travel,34.42,1,4.4845,94.1745,4.4845,4.761904762,89.69,4.9,A,Yangon,M,Normal,Ewallet,1/11/19 11:20,2019,1
140,540-11-4336,1,PID214,Sports and travel,43.25,9,11.223,235.683,11.223,4.761904762,224.46,5.6,A,Yangon,M,Normal,Credit card,1/11/19 16:49,2019,1
141,448-81-5016,1,PID215,Sports and travel,63.42,2,5.977,125.517,5.977,4.761904762,119.54,5.8,A,Yangon,M,Normal,Credit card,3/11/19 12:01,2019,3
142,290-68-2984,1,PID216,Health and beauty,93.14,4,4.75,99.75,4.75,4.761904762,95,5.2,A,Yangon,M,Normal,Cash,3/16/19 11:22,2019,3
143,850-41-9669,1,PID217,Health and beauty,89.69,9,33.777,709.317,33.777,4.761904762,675.54,6.2,A,Yangon,F,Normal,Ewallet,3/19/19 13:25,2019,3
144,633-91-1052,1,PID218,Food and beverages,24.94,2,1.203,25.263,1.203,4.761904762,24.06,5.1,A,Yangon,F,Normal,Cash,1/27/19 15:51,2019,1
145,136-08-6195,1,PID219,Home and lifestyle,59.77,8,27.984,587.664,27.984,4.761904762,559.68,6.4,A,Yangon,F,Normal,Credit card,2/15/19 17:01,2019,2
146,685-64-1609,1,PID22,Health and beauty,23.75,10,15.07,316.47,15.07,4.761904762,301.4,9.2,A,Yangon,F,Member,Ewallet,2/10/19 12:28,2019,2
147,490-29-1201,1,PID220,Fashion accessories,75.06,1,0.767,16.107,0.767,4.761904762,15.34,6.5,A,Yangon,F,Normal,Cash,1/6/19 11:09,2019,1
148,439-54-7422,1,PID221,Health and beauty,12.03,4,10.238,214.998,10.238,4.761904762,204.76,4.7,A,Yangon,F,Normal,Credit card,3/18/19 17:15,2019,3
149,286-01-5402,1,PID222,Home and lifestyle,69.96,7,14.0805,295.6905,14.0805,4.761904762,281.61,9.6,A,Yangon,F,Normal,Cash,3/30/19 13:22,2019,3
150,848-42-2560,1,PID223,Health and beauty,30.14,2,8.191,172.011,8.191,4.761904762,163.82,7.8,A,Yangon,F,Normal,Cash,3/5/19 17:43,2019,3
151,372-94-8041,1,PID224,Fashion accessories,15.34,6,4.578,96.138,4.578,4.761904762,91.56,9.8,A,Yangon,M,Normal,Ewallet,2/15/19 18:03,2019,2
152,563-91-7120,1,PID225,Sports and travel,51.19,5,15.4425,324.2925,15.4425,4.761904762,308.85,6.7,A,Yangon,F,Normal,Cash,3/8/19 13:21,2019,3
153,746-54-5508,1,PID226,Fashion accessories,40.23,6,6.456,135.576,6.456,4.761904762,129.12,9.4,A,Yangon,M,Normal,Credit card,1/17/19 12:48,2019,1
154,634-97-8956,1,PID227,Food and beverages,81.91,3,4.935,103.635,4.935,4.761904762,98.7,9.1,A,Yangon,M,Normal,Credit card,2/17/19 17:27,2019,2
155,566-71-1091,1,PID228,Sports and travel,15.26,5,19.255,404.355,19.255,4.761904762,385.1,5.5,A,Yangon,M,Normal,Cash,2/3/19 15:59,2019,2
156,898-04-2717,1,PID229,Food and beverages,61.77,9,34.38,721.98,34.38,4.761904762,687.6,7.5,A,Yangon,M,Normal,Ewallet,3/19/19 15:49,2019,3
157,782-95-9291,1,PID23,Electronic accessories,21.52,5,23.0725,484.5225,23.0725,4.761904762,461.45,9,A,Yangon,M,Member,Credit card,2/20/19 15:55,2019,2
